GEO.id,GEO.id2,GEO.display-label,NATIVE_PER_3
0500000US01001,1001,"Autauga County, Alabama",98.44081056
0500000US01003,1003,"Baldwin County, Alabama",96.47295781
0500000US01005,1005,"Barbour County, Alabama",97.26347839
0500000US01007,1007,"Bibb County, Alabama",98.88957707
0500000US01009,1009,"Blount County, Alabama",95.85340496
0500000US01011,1011,"Bullock County, Alabama",94.63382656
0500000US01013,1013,"Butler County, Alabama",99.29252235
0500000US01015,1015,"Calhoun County, Alabama",97.43930457
0500000US01017,1017,"Chambers County, Alabama",98.94069662
0500000US01019,1019,"Cherokee County, Alabama",98.99646263
0500000US01021,1021,"Chilton County, Alabama",94.67582556
0500000US01023,1023,"Choctaw County, Alabama",99.84322508
0500000US01025,1025,"Clarke County, Alabama",99.49740726
0500000US01027,1027,"Clay County, Alabama",97.85772328
0500000US01029,1029,"Cleburne County, Alabama",98.46020531
0500000US01031,1031,"Coffee County, Alabama",95.75898121
0500000US01033,1033,"Colbert County, Alabama",98.13937257
0500000US01035,1035,"Conecuh County, Alabama",98.98173339
0500000US01037,1037,"Coosa County, Alabama",98.21347601
0500000US01039,1039,"Covington County, Alabama",98.92572454
0500000US01041,1041,"Crenshaw County, Alabama",97.64672119
0500000US01043,1043,"Cullman County, Alabama",97.53473723
0500000US01045,1045,"Dale County, Alabama",96.75931496
0500000US01047,1047,"Dallas County, Alabama",99.21241163
0500000US01049,1049,"DeKalb County, Alabama",92.39882929
0500000US01051,1051,"Elmore County, Alabama",97.89507572
0500000US01053,1053,"Escambia County, Alabama",99.43324107
0500000US01055,1055,"Etowah County, Alabama",97.30547578
0500000US01057,1057,"Fayette County, Alabama",99.55018939
0500000US01059,1059,"Franklin County, Alabama",91.18037555
0500000US01061,1061,"Geneva County, Alabama",97.27764311
0500000US01063,1063,"Greene County, Alabama",99.78153386
0500000US01065,1065,"Hale County, Alabama",99.04299948
0500000US01067,1067,"Henry County, Alabama",98.55089265
0500000US01069,1069,"Houston County, Alabama",97.61237854
0500000US01071,1071,"Jackson County, Alabama",97.72985244
0500000US01073,1073,"Jefferson County, Alabama",95.98437694
0500000US01075,1075,"Lamar County, Alabama",99.17215029
0500000US01077,1077,"Lauderdale County, Alabama",98.14205765
0500000US01079,1079,"Lawrence County, Alabama",99.32412315
0500000US01081,1081,"Lee County, Alabama",94.49801963
0500000US01083,1083,"Limestone County, Alabama",95.28404932
0500000US01085,1085,"Lowndes County, Alabama",99.70210389
0500000US01087,1087,"Macon County, Alabama",98.67119592
0500000US01089,1089,"Madison County, Alabama",94.60596124
0500000US01091,1091,"Marengo County, Alabama",98.89687777
0500000US01093,1093,"Marion County, Alabama",98.3051963
